x,y,subsecundum_PA1_RUN8 logistic values
-41.3791666667592,-9.14583333312313,1.7899412E-5
-39.1041666667424,-9.14583333312313,0.0066048885
-38.6458333334057,-9.14583333312313,7.9695155E-6
-38.1541666667354,-9.14583333312313,2.7333064E-10
-42.3958333334334,-9.15416666645654,2.4928581E-6
-39.8541666667479,-9.15416666645654,0.0045339
-38.462500000071,-9.15416666645654,3.5610248E-7
-41.9041666667631,-9.16249999978994,9.694619E-6
-37.7291666667322,-9.16249999978994,2.1450324E-9
-37.3625000000629,-9.16249999978994,2.0357258E-9
-42.1208333334313,-9.17083333312334,3.6431725E-6
-41.8041666667623,-9.17083333312334,2.6136866E-5
-40.8541666667553,-9.17083333312334,4.5248835E-5
-40.6875000000874,-9.17083333312334,4.521949E-5
-40.4208333334188,-9.17083333312334,3.2230666E-5
-39.2458333334101,-9.17083333312334,5.8406056E-4
-38.2125000000691,-9.17083333312334,3.8714405E-9
-41.2875000000918,-9.17916666645675,2.4002644E-5
-40.4291666667522,-9.17916666645675,3.5470206E-5
-39.9708333334154,-9.17916666645675,0.0020035456
-41.3291666667588,-9.19583333312356,3.0526095E-5
-39.054166666742,-9.19583333312356,0.006945814
-38.7958333334068,-9.19583333312356,1.2475993E-4
-37.2291666667285,-9.19583333312356,1.5934197E-9
-41.4041666667594,-9.20416666645696,2.8387884E-5
-38.9458333334079,-9.20416666645696,0.0030121673
-38.7041666667394,-9.20416666645696,6.517557E-5
-37.9208333334003,-9.20416666645696,1.2796028E-10
-37.9125000000669,-9.20416666645696,8.941551E-11
-41.1708333334243,-9.21249999979037,4.3568107E-5
-37.0791666667274,-9.21249999979037,2.0507773E-9
-39.1958333334097,-9.22083333312377,6.0308445E-4
-38.6458333334057,-9.22083333312377,5.0482454E-6
-37.3958333333964,-9.22083333312377,1.7967755E-9
-41.4375000000929,-9.22916666645717,1.7157396E-5
-40.2875000000845,-9.23749999979058,1.10666246E-4
-42.3625000000998,-9.24583333312399,2.4810226E-6
-40.5708333334199,-9.24583333312399,1.255676E-5
-38.8041666667402,-9.24583333312399,1.18285934E-4
-42.2458333334323,-9.25416666645739,7.4593886E-6
-41.6958333334282,-9.25416666645739,2.8411643E-5
-40.3291666667514,-9.25416666645739,1.1047635E-4
-39.5791666667459,-9.25416666645739,0.0036335997
-37.1208333333944,-9.25416666645739,3.4780083E-8
-41.7375000000952,-9.26249999979079,3.497472E-5
-40.9625000000894,-9.26249999979079,8.576252E-5
-39.9125000000817,-9.26249999979079,0.0017226248
-39.8208333334143,-9.26249999979079,0.0074958587
-38.4458333334042,-9.26249999979079,5.4900806E-8
-41.2125000000913,-9.2708333331242,7.4721545E-5
-40.8375000000885,-9.2708333331242,4.5403773E-5
-40.6125000000869,-9.2708333331242,1.2786644E-5
-40.3041666667512,-9.2708333331242,1.4940095E-4
-39.5125000000787,-9.2708333331242,0.0020863493
-37.8625000000665,-9.2708333331242,6.8083E-11
-37.1791666667282,-9.2708333331242,1.5027172E-8
-37.1708333333948,-9.2708333331242,2.0027215E-8
-39.9791666667488,-9.2791666664576,7.1370695E-4
-39.5708333334125,-9.2791666664576,0.002554734
-37.3708333333962,-9.2791666664576,7.6945866E-10
-38.820833333407,-9.28749999979101,1.5217847E-4
-41.1125000000905,-9.29583333312441,1.1163049E-4
-40.004166666749,-9.29583333312441,8.10752E-4
-38.8958333334075,-9.29583333312441,4.098118E-4
-38.2208333334025,-9.29583333312441,1.1293253E-9
-42.2375000000989,-9.30416666645782,9.212274E-6
-42.1708333334317,-9.30416666645782,1.317257E-5
-39.454166666745,-9.30416666645782,0.0016043024
-38.9208333334077,-9.30416666645782,4.52313E-4
-42.0791666667644,-9.31249999979122,1.8012537E-5
-41.754166666762,-9.31249999979122,2.6889487E-5
-40.5458333334197,-9.31249999979122,7.0959463E-6
