datelastmodified,scientificname,catalognumber,country,stateprovince,county,locality,latitude_final,longitude_final
2020-11-15T19:31:00Z,Mimosa lewisii,442604,Brazil,Bahia,Camaçari,"Rodovia Linha Verde, proximo de Arembepe",-12.69,-38.32
2020-11-15T19:31:00Z,Mimosa lewisii,442605,Brazil,Bahia,Mucugê,Rio Mucugê,-13.0056,-41.3706
2020-11-15T19:31:00Z,Mimosa lewisii,442607,Brazil,Bahia,Salvador,Ca. 30km ao N da cidade. Dunas nos Arredores da Lagoa de Abaeté,-12.93708,-38.352556
2020-11-15T19:31:00Z,Mimosa lewisii,442608,Brazil,Bahia,Tucano,Kms 7-10 na estrada de Tucano para Ribeira do Pombal,-10.9633,-38.7867
2020-11-15T19:31:00Z,Mimosa lewisii,442609,Brazil,Bahia,Lençóis,Folha SD.24-X-A. Rio Sao José,-12.58,-41.42
2020-11-15T19:31:00Z,Mimosa lewisii,442610,Brazil,Bahia,Morro do Chapéu,Ca. 12 km SE de Morro do Chapéu na BA 052 (estrada do feijao),-11.6022,-41.0569
2020-11-15T19:31:00Z,Mimosa lewisii,442611,Brazil,Bahia,Tucano,7km NE de Tucano na estrada para Ribeira do Pombal (BR 410),-10.87,-38.65
2020-11-15T19:31:00Z,Mimosa lewisii,442612,Brazil,Bahia,Lençóis,"Caminho para Capao (Caete-Açu) por tras da Pousada de Lençois, ca. 4km de Lençois",-12.5633,-41.3897
2020-11-15T19:31:00Z,Mimosa lewisii,442613,Brazil,Bahia,Andaraí,"7km de Andaraí, estrada p/ Mucugê. Ponte sobre o Rio Paraguaçu. antes de Igatu",-12.8,-41.33
2019-11-01T18:00:15Z,Mimosa lewisii,140088,Brasil,Bahia,Jaquarari,Rodovia Juazeiro-Senhor do Bonfim (BR-407) Km 100,-10.316667,-40.166667
2019-11-01T18:00:15Z,Mimosa lewisii,140090,Brasil,Bahia,Brotas de Macaúbas,Proximidades cidade de Lençóis,-12.416667,-42.366667
2019-01-25T17:41:02Z,Mimosa lewisii,23331,Brasil,Bahia,Água Fria,NA,-11.8667,-38.7667
2019-02-22T14:45:40Z,Mimosa lewisii,54131,Brasil,Pernambuco,Tacaratu,"Na serra Grande, próximo a torre da antena.",-9.10527992248535,-38.1492004394531
2019-02-22T14:45:40Z,Mimosa lewisii,81800,Brasil,Bahia,Palmeiras,"Distrito Campo São João, leito do rio sem nome \""Rio da Rua\"" completamente seco.",-12.452222,-41.488056
2019-02-22T14:45:40Z,Mimosa lewisii,82399,Brasil,Pernambuco,Buíque,"Vale do Catimbau, Paraiso Selvagem, propriedade do Sr. Jurandir, na subida para o alto do lajeiro",-8.583611,-37.240833
